Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	RNA-seqG
Chr3:177390075-177401355	3	177390075	177401355	-	null					Not found	0	0.4505317
Chr3:177403971-177452034	3	177403971	177452034	-	null					Not found	0	0.11018967
Chr4:106449-108384	4	106449	108384	-	null					Not found	0	0.35083234
Chr4:342283-351174	4	342283	351174	-	null					Not found	0	21.13639
Chr4:615997-700892	4	615997	700892	-	null					Not found	0	1.394058
Chr4:2053823-2113466	4	2053823	2113466	-	null					Not found	0	0.41379067
Chr4:2110034-2201882	4	2110034	2201882	+	null					Not found	0	0.9108591
Chr4:2203717-2204965	4	2203717	2204965	+	null					Not found	0	0.33373654
Chr4:2205147-2206554	4	2205147	2206554	+	null					Not found	0	0.34413812
Chr4:2209676-2211205	4	2209676	2211205	+	null					Not found	0	0.29733565
Chr4:2211369-2212394	4	2211369	2212394	+	null					Not found	0	0.37121463
Chr4:2258898-2260203	4	2258898	2260203	+	null					Not found	0	0.2964885
Chr4:2261186-2262241	4	2261186	2262241	+	null					Not found	0	0.3386279
Chr4:2263479-2265663	4	2263479	2265663	+	null					Not found	0	0.2420965
Chr4:2271438-2273399	4	2271438	2273399	+	null					Not found	0	0.35157546
Chr4:2340090-2356613	4	2340090	2356613	-	null					Not found	0	1.7514888
Chr4:2356844-2360411	4	2356844	2360411	-	null					Not found	0	4.278696
Chr4:2360581-2361826	4	2360581	2361826	-	null					Not found	0	2.6491497
Chr4:2505903-2606684	4	2505903	2606684	-	null					Not found	0	2.0704062
Chr4:2711363-2774946	4	2711363	2774946	-	null					Not found	0	1.810202
Chr4:3889036-3892344	4	3889036	3892344	+	null					Not found	0	1.2245371
Chr4:3956998-4008291	4	3956998	4008291	-	null					Not found	0	0.7940797
Chr4:4021027-4362613	4	4021027	4362613	+	null					Not found	0	0.58315855
Chr4:4461553-4463275	4	4461553	4463275	+	null					Not found	0	0.96278816
Chr4:4465380-4466733	4	4465380	4466733	+	null					Not found	0	0.6907224
Chr4:4467004-4468144	4	4467004	4468144	+	null					Not found	0	0.814102
Chr4:4468321-4469700	4	4468321	4469700	+	null					Not found	0	0.8034376
Chr4:4470039-4472661	4	4470039	4472661	+	null					Not found	0	0.7187525
Chr4:5644281-5673297	4	5644281	5673297	-	null					Not found	0	1.5655953
Chr4:5722369-5773293	4	5722369	5773293	+	null					Not found	0	0.33422658
Chr4:5849687-5859798	4	5849687	5859798	-	null					Not found	0	0.48901436
Chr4:6083686-6264024	4	6083686	6264024	-	null					Not found	0	0.91857916
Chr4:6269645-6281619	4	6269645	6281619	-	null					Not found	0	0.7232129
Chr4:6283329-6294401	4	6283329	6294401	-	null					Not found	0	2.8101482
Chr4:6297266-6330701	4	6297266	6330701	+	null					Not found	0	2.011317
Chr4:6559523-6634302	4	6559523	6634302	-	null					Not found	0	0.04872453
Chr4:6669313-6673588	4	6669313	6673588	+	null					Not found	0	7.3077545
Chr4:6713785-6799864	4	6713785	6799864	-	null					Not found	0	0.8345214
Chr4:6827212-6873455	4	6827212	6873455	-	null					Not found	0	2.1884918
Chr4:6950364-6981352	4	6950364	6981352	+	null					Not found	0	2.4899604
Chr4:7076736-7108328	4	7076736	7108328	-	null					Not found	0	1.3320546
Chr4:7107080-7113890	4	7107080	7113890	+	null					Not found	0	7.6820664
Chr4:7122916-7135598	4	7122916	7135598	-	null					Not found	0	3.7198412
Chr4:7203017-7253340	4	7203017	7253340	+	null					Not found	0	3.4156077
Chr4:7257696-7260292	4	7257696	7260292	-	null					Not found	0	5.702483
Chr4:7260584-7264584	4	7260584	7264584	-	null					Not found	0	10.377597
Chr4:7264809-7281175	4	7264809	7281175	+	null					Not found	0	0.91387933
Chr4:7282968-7288367	4	7282968	7288367	-	null					Not found	0	8.398257
Chr4:7294507-7311820	4	7294507	7311820	+	null					Not found	0	2.4909823
Chr4:7355273-7387238	4	7355273	7387238	-	null					Not found	0	0.7593654
Chr4:7512970-7529023	4	7512970	7529023	+	null					Not found	0	0.86012936
Chr4:7532901-7582161	4	7532901	7582161	+	null					Not found	0	2.492667
Chr4:7662076-7726669	4	7662076	7726669	-	null					Not found	0	1.7854681
Chr4:7818696-7822678	4	7818696	7822678	+	null					Not found	0	0.9450735
Chr4:7835942-7842780	4	7835942	7842780	-	null					Not found	0	2.7907047
Chr4:7846387-7848560	4	7846387	7848560	+	null					Not found	0	1.4550624
Chr4:7848673-7868861	4	7848673	7868861	+	null					Not found	0	1.1999211
Chr4:7874086-7885406	4	7874086	7885406	+	null					Not found	0	0.5397745
Chr4:7889792-7931317	4	7889792	7931317	-	null					Not found	0	0.56217754
Chr4:7969879-7978822	4	7969879	7978822	-	null					Not found	0	0.6723451
Chr4:8066739-8187494	4	8066739	8187494	-	null					Not found	0	1.2850858
Chr4:8188120-8256487	4	8188120	8256487	+	null					Not found	0	3.0645113
Chr4:8255858-8271621	4	8255858	8271621	-	null					Not found	0	3.0208685
Chr4:8271826-8273584	4	8271826	8273584	-	null					Not found	0	1.0657806
Chr4:8369606-8428540	4	8369606	8428540	+	null					Not found	0	1.2291995
Chr4:8741258-8742339	4	8741258	8742339	+	null					Not found	0	0.7568044
Chr4:8980248-8982240	4	8980248	8982240	+	null					Not found	0	1.2368544
Chr4:8988021-8990038	4	8988021	8990038	+	null					Not found	0	1.2666183
Chr4:9160088-9223969	4	9160088	9223969	-	null					Not found	0	0.3707056
Chr4:9347528-9774249	4	9347528	9774249	-	null					Not found	0	0.61577785
Chr4:9867131-9881417	4	9867131	9881417	+	null					Not found	0	4.0016975
Chr4:9882941-9908678	4	9882941	9908678	-	null					Not found	0	1.1174818
Chr4:9908842-9921604	4	9908842	9921604	+	null					Not found	0	3.0933962
Chr4:9981949-9992800	4	9981949	9992800	-	null					Not found	0	0.1807465
Chr4:9996948-10000468	4	9996948	10000468	-	null					Not found	0	0.13701521
Chr4:10000571-10002124	4	10000571	10002124	-	null					Not found	0	0.20287812
Chr4:10004875-10019955	4	10004875	10019955	+	null					Not found	0	2.5069504
Chr4:10212428-10269934	4	10212428	10269934	+	null					Not found	0	0.5578367
Chr4:10631198-10702383	4	10631198	10702383	-	null					Not found	0	0.95467126
Chr4:10749208-10775738	4	10749208	10775738	-	null					Not found	0	0.25345463
Chr4:10776794-10811541	4	10776794	10811541	-	null					Not found	0	0.75185066
Chr4:10818094-10822860	4	10818094	10822860	+	null					Not found	0	1.8642497
Chr4:10823370-10938198	4	10823370	10938198	-	null					Not found	0	0.32322335
Chr4:10993346-11345687	4	10993346	11345687	+	null					Not found	0	0.53997356
Chr4:11460075-11497525	4	11460075	11497525	+	null					Not found	0	0.28260526
Chr4:13405148-13488526	4	13405148	13488526	-	null					Not found	0	2.9969175
Chr4:14318279-14490874	4	14318279	14490874	+	null					Not found	0	0.33416674
Chr4:15706977-15915402	4	15706977	15915402	+	null					Not found	0	1.4422016
Chr4:16033914-16130861	4	16033914	16130861	+	null					Not found	0	0.49805436
Chr4:16457353-16669363	4	16457353	16669363	+	null					Not found	0	1.2969538
Chr4:17032176-17059029	4	17032176	17059029	+	null					Not found	0	1.5519189
Chr4:17314772-17439856	4	17314772	17439856	+	null					Not found	0	0.4459873
Chr4:18173524-18395640	4	18173524	18395640	+	null					Not found	0	0.18719868
Chr4:19277791-19292313	4	19277791	19292313	+	null					Not found	0	0.035258107
Chr4:21462782-21570585	4	21462782	21570585	-	null					Not found	0	2.384467
Chr4:21560818-21613124	4	21560818	21613124	+	null					Not found	0	3.9200428
Chr4:21626694-21757660	4	21626694	21757660	+	null					Not found	0	0.28698182
Chr4:21862337-21902974	4	21862337	21902974	-	null					Not found	0	1.7549908
Chr4:21902884-21920047	4	21902884	21920047	+	null					Not found	0	0.48435465
Chr4:22081585-22116229	4	22081585	22116229	-	null					Not found	0	0.70003504
Chr4:22229806-22238087	4	22229806	22238087	+	null					Not found	0	0.1509914
Chr4:22239996-22277949	4	22239996	22277949	+	null					Not found	0	0.07537357
Chr4:22280322-22306941	4	22280322	22306941	+	null					Not found	0	0.10365004
Chr4:22445431-22587534	4	22445431	22587534	-	null					Not found	0	0.69884557
Chr4:22617831-22661578	4	22617831	22661578	+	null					Not found	0	0.13542528
Chr4:22700602-23002960	4	22700602	23002960	-	null					Not found	0	0.93939024
Chr4:23004573-23018953	4	23004573	23018953	+	null					Not found	0	2.619855
Chr4:24228734-24231444	4	24228734	24231444	-	null					Not found	0	1.4478192
Chr4:24231909-24233354	4	24231909	24233354	-	null					Not found	0	1.2745292
Chr4:24235194-24236648	4	24235194	24236648	-	null					Not found	0	1.3059101
Chr4:25507226-25527032	4	25507226	25527032	-	null					Not found	0	0.4643772
Chr4:25538553-25611399	4	25538553	25611399	-	null					Not found	0	0.34489375
Chr4:25635803-25653219	4	25635803	25653219	-	null					Not found	0	0.4441532
Chr4:25681652-25692533	4	25681652	25692533	-	null					Not found	0	2.4147816
Chr4:25945213-25978768	4	25945213	25978768	-	null					Not found	0	0.21603152
Chr4:26087339-26419439	4	26087339	26419439	-	null					Not found	0	0.33914563
Chr4:26470931-26475094	4	26470931	26475094	-	null					Not found	0	6.789858
Chr4:27175189-27195885	4	27175189	27195885	-	null					Not found	0	18.127096
Chr4:27195367-27331587	4	27195367	27331587	+	null					Not found	0	1.4919
Chr4:27196377-27197561	4	27196377	27197561	-	null					Not found	0	6.0799317
Chr4:27365395-27372262	4	27365395	27372262	-	null					Not found	0	0.92764205
Chr4:27438720-27473118	4	27438720	27473118	+	null					Not found	0	1.3371918
Chr4:27473237-27597169	4	27473237	27597169	-	null					Not found	0	0.9472511
Chr4:27646977-27660984	4	27646977	27660984	-	null					Not found	0	2.9803886
Chr4:27659396-27698041	4	27659396	27698041	+	null					Not found	0	1.010109
Chr4:27698435-27708526	4	27698435	27708526	-	null					Not found	0	0.5753165
Chr4:27728814-27755175	4	27728814	27755175	+	null					Not found	0	1.0126927
Chr4:27776904-27779727	4	27776904	27779727	+	null					Not found	0	1.7472852
Chr4:27780710-27784563	4	27780710	27784563	+	null					Not found	0	1.6289426
Chr4:27785814-27966605	4	27785814	27966605	+	null					Not found	0	0.052970648
Chr4:28305085-28324523	4	28305085	28324523	+	null					Not found	0	0.44802412
Chr4:28343155-28350975	4	28343155	28350975	+	null					Not found	0	1.206355
Chr4:28441296-28540959	4	28441296	28540959	-	null					Not found	0	0.5477911
Chr4:29082395-29092689	4	29082395	29092689	+	null					Not found	0	1.8884026
Chr4:29639014-29693121	4	29639014	29693121	-	null					Not found	0	0.83071935
Chr4:29726200-29769902	4	29726200	29769902	+	null					Not found	0	0.56908137
Chr4:29795516-29804566	4	29795516	29804566	-	null					Not found	0	5.2235327
Chr4:29806681-29809190	4	29806681	29809190	-	null					Not found	0	21.522566
Chr4:29976559-29980320	4	29976559	29980320	-	null					Not found	0	7.7566986
Chr4:30133321-30247361	4	30133321	30247361	-	null					Not found	0	1.3096753
Chr4:30344762-30380112	4	30344762	30380112	+	null					Not found	0	0.5983674
Chr4:30807761-30892053	4	30807761	30892053	-	null					Not found	0	0.48225975
Chr4:30999734-31121096	4	30999734	31121096	-	null					Not found	0	1.1184688
Chr4:31223665-31299401	4	31223665	31299401	-	null					Not found	0	0.37808195
Chr4:32067701-32087576	4	32067701	32087576	+	null					Not found	0	1.2926977
Chr4:32214325-32295452	4	32214325	32295452	+	null					Not found	0	0.1969138
Chr4:32296032-32297282	4	32296032	32297282	+	null					Not found	0	0.28584418
Chr4:32297461-32308366	4	32297461	32308366	+	null					Not found	0	0.17189695
Chr4:32308729-32381504	4	32308729	32381504	+	null					Not found	0	2.9007015
Chr4:32373668-32377955	4	32373668	32377955	-	null					Not found	0	3.480319
Chr4:32387741-32391954	4	32387741	32391954	+	null					Not found	0	3.493232
Chr4:32495356-32559103	4	32495356	32559103	-	null					Not found	0	0.077735655
Chr4:33638927-33646773	4	33638927	33646773	-	null					Not found	0	0.46352395
Chr4:33737815-33761085	4	33737815	33761085	+	null					Not found	0	6.626002
Chr4:33908351-33943193	4	33908351	33943193	-	null					Not found	0	0.8976719
Chr4:34238615-34264820	4	34238615	34264820	-	null					Not found	0	1.1695471
Chr4:34279343-34282347	4	34279343	34282347	+	null					Not found	0	1.7286496
Chr4:34282618-34303347	4	34282618	34303347	-	null					Not found	0	0.24180524
Chr4:34403228-34448893	4	34403228	34448893	-	null					Not found	0	0.23626098
Chr4:34543809-34614439	4	34543809	34614439	-	null					Not found	0	1.298505
Chr4:34635515-34780075	4	34635515	34780075	+	null					Not found	0	0.33391136
Chr4:34959149-34961036	4	34959149	34961036	-	null					Not found	0	6.4676876
Chr4:35279062-35285678	4	35279062	35285678	-	null					Not found	0	12.797228
Chr4:35285884-35290812	4	35285884	35290812	-	null					Not found	0	1.3852881
Chr4:38232463-38241066	4	38232463	38241066	+	null					Not found	0	12.094504
Chr4:38241290-38420155	4	38241290	38420155	-	null					Not found	0	1.6592277
Chr4:38658530-38923924	4	38658530	38923924	+	null					Not found	0	0.36342108
Chr4:39517536-39539477	4	39517536	39539477	-	null					Not found	0	3.934449
Chr4:40006400-40041032	4	40006400	40041032	+	null					Not found	0	0.6352108
Chr4:40061384-40136136	4	40061384	40136136	+	null					Not found	0	0.7236592
Chr4:40375051-40376434	4	40375051	40376434	+	null					Not found	0	1.6037599
Chr4:40376619-40387127	4	40376619	40387127	+	null					Not found	0	9.115042
Chr4:40416502-40420716	4	40416502	40420716	+	null					Not found	0	4.9381585
Chr4:41364760-41373620	4	41364760	41373620	-	null					Not found	0	0.12584265
Chr4:41373749-41375083	4	41373749	41375083	-	null					Not found	0	0.23457429
Chr4:41375216-41376660	4	41375216	41376660	-	null					Not found	0	0.21964604
Chr4:41376995-41378428	4	41376995	41378428	-	null					Not found	0	0.21247767
Chr4:41378735-41382051	4	41378735	41382051	-	null					Not found	0	0.12694265
Chr4:41382252-41383973	4	41382252	41383973	-	null					Not found	0	0.18062761
Chr4:41384170-41386188	4	41384170	41386188	-	null					Not found	0	0.14881681
Chr4:41386327-41387510	4	41386327	41387510	-	null					Not found	0	0.22160009
Chr4:41387703-41390302	4	41387703	41390302	-	null					Not found	0	0.124513954
Chr4:41392461-41394098	4	41392461	41394098	-	null					Not found	0	0.17051397
Chr4:41402470-41404077	4	41402470	41404077	-	null					Not found	0	0.17237933
Chr4:41404999-41407056	4	41404999	41407056	-	null					Not found	0	0.1357152
Chr4:41407718-41408893	4	41407718	41408893	-	null					Not found	0	0.21231204
Chr4:41421117-41422304	4	41421117	41422304	-	null					Not found	0	0.19769992
Chr4:41423337-41424588	4	41423337	41424588	-	null					Not found	0	0.19942409
Chr4:41427951-41429283	4	41427951	41429283	-	null					Not found	0	0.19048072
Chr4:41431105-41432432	4	41431105	41432432	-	null					Not found	0	0.18482465
Chr4:41432631-41433682	4	41432631	41433682	-	null					Not found	0	0.23532608
Chr4:41435272-41436459	4	41435272	41436459	-	null					Not found	0	0.20304316
Chr4:41438164-41439359	4	41438164	41439359	-	null					Not found	0	0.19814667
Chr4:41446536-41448228	4	41446536	41448228	-	null					Not found	0	0.15497608
Chr4:41448576-41450130	4	41448576	41450130	-	null					Not found	0	0.1632867
Chr4:41680765-41788169	4	41680765	41788169	-	null					Not found	0	0.116173364
Chr4:41788276-41795879	4	41788276	41795879	-	null					Not found	0	0.24765542
Chr4:41795980-41798357	4	41795980	41798357	-	null					Not found	0	0.24469258
Chr4:41798475-41799493	4	41798475	41799493	-	null					Not found	0	0.36545882
Chr4:41799599-41806264	4	41799599	41806264	-	null					Not found	0	0.18473859
Chr4:41806449-41807636	4	41806449	41807636	-	null					Not found	0	0.33662418
Chr4:41807756-41810376	4	41807756	41810376	-	null					Not found	0	0.22039187
Chr4:41810809-41811983	4	41810809	41811983	-	null					Not found	0	0.28812575
Chr4:41812096-41821638	4	41812096	41821638	-	null					Not found	0	0.16141593
Chr4:41824695-41827438	4	41824695	41827438	-	null					Not found	0	0.17272845
Chr4:41828033-41830524	4	41828033	41830524	-	null					Not found	0	0.19868623
Chr4:41830702-41839785	4	41830702	41839785	-	null					Not found	0	0.13207051
Chr4:41840011-41841065	4	41840011	41841065	-	null					Not found	0	0.30886465
Chr4:41841870-41844692	4	41841870	41844692	-	null					Not found	0	0.18063675
Chr4:41844830-41846360	4	41844830	41846360	-	null					Not found	0	0.25291574
Chr4:41846610-41848334	4	41846610	41848334	-	null					Not found	0	0.21956539
Chr4:41848595-41852529	4	41848595	41852529	-	null					Not found	0	0.14679722
Chr4:41852828-41854608	4	41852828	41854608	-	null					Not found	0	0.20078106
Chr4:41854797-41856567	4	41854797	41856567	-	null					Not found	0	0.20549905
Chr4:41856671-41857961	4	41856671	41857961	-	null					Not found	0	0.24748601
Chr4:41858366-41860540	4	41858366	41860540	-	null					Not found	0	0.1848393
Chr4:41865110-41867166	4	41865110	41867166	-	null					Not found	0	0.21498688
Chr4:41867278-41869533	4	41867278	41869533	-	null					Not found	0	0.18758187
Chr4:41869787-41871525	4	41869787	41871525	-	null					Not found	0	0.20441353
Chr4:41874129-41875935	4	41874129	41875935	-	null					Not found	0	0.34777492
Chr4:41877618-41942014	4	41877618	41942014	-	null					Not found	0	0.3974113
Chr4:42202895-42282468	4	42202895	42282468	-	null					Not found	0	0.17081825
Chr4:42932903-43096381	4	42932903	43096381	+	null					Not found	0	0.88524264
Chr4:44321862-44360392	4	44321862	44360392	-	null					Not found	0	0.3343215
Chr4:44628049-44630094	4	44628049	44630094	-	null					Not found	0	1.2741045
Chr4:44747117-44854608	4	44747117	44854608	-	null					Not found	0	0.3155421
Chr4:44934272-44935337	4	44934272	44935337	+	null					Not found	0	1.0877355
Chr4:44936279-44977890	4	44936279	44977890	-	null					Not found	0	4.692334
Chr4:45051871-45247780	4	45051871	45247780	-	null					Not found	0	0.567166
Chr4:45288546-45332367	4	45288546	45332367	+	null					Not found	0	0.29965362
Chr4:45555162-45561773	4	45555162	45561773	-	null					Not found	0	2.4413762
Chr4:48308125-48315255	4	48308125	48315255	-	null					Not found	0	6.816294
Chr4:48315556-48316858	4	48315556	48316858	-	null					Not found	0	0.9743316
Chr4:48318235-48319843	4	48318235	48319843	-	null					Not found	0	0.9784009
Chr4:48322246-48325183	4	48322246	48325183	-	null					Not found	0	0.86927146
Chr4:48327506-48328563	4	48327506	48328563	-	null					Not found	0	1.0039637
Chr4:48328680-48330290	4	48328680	48330290	-	null					Not found	0	0.9942607
Chr4:48330898-48333236	4	48330898	48333236	-	null					Not found	0	0.83406645
Chr4:48341043-48343012	4	48341043	48343012	-	null					Not found	0	0.89577675
Chr4:48346392-48347657	4	48346392	48347657	-	null					Not found	0	0.9209114
Chr4:48349452-48351593	4	48349452	48351593	-	null					Not found	0	0.85842085
Chr4:48351746-48355189	4	48351746	48355189	-	null					Not found	0	0.7483144
Chr4:48355480-48357025	4	48355480	48357025	-	null					Not found	0	0.8964617
Chr4:48357564-48358963	4	48357564	48358963	-	null					Not found	0	0.83730114
Chr4:48367876-48370856	4	48367876	48370856	-	null					Not found	0	0.9348109
Chr4:48372576-48377637	4	48372576	48377637	-	null					Not found	0	0.86944306
Chr4:48378476-48379776	4	48378476	48379776	-	null					Not found	0	0.98396134
Chr4:48385469-48387227	4	48385469	48387227	-	null					Not found	0	0.91180784
Chr4:48388725-48389892	4	48388725	48389892	-	null					Not found	0	0.902166
Chr4:48390281-48391953	4	48390281	48391953	-	null					Not found	0	0.9713265
Chr4:48392081-48393131	4	48392081	48393131	-	null					Not found	0	1.0207167
Chr4:48393323-48394437	4	48393323	48394437	-	null					Not found	0	1.153795
Chr4:48398475-48399501	4	48398475	48399501	-	null					Not found	0	1.2361773
Chr4:48798759-48817575	4	48798759	48817575	-	null					Not found	0	3.4802482
Chr4:48852843-48928314	4	48852843	48928314	+	null					Not found	0	0.6768981
Chr4:49017321-49042857	4	49017321	49042857	-	null					Not found	0	0.8377688
Chr4:49043047-49044373	4	49043047	49044373	-	null					Not found	0	1.7428066
Chr4:49387635-49439849	4	49387635	49439849	+	null					Not found	0	2.0863008
Chr4:49940869-50141030	4	49940869	50141030	-	null					Not found	0	6.909865
Chr4:50326210-50723960	4	50326210	50723960	+	null					Not found	0	0.16637953
Chr4:51482488-51486531	4	51482488	51486531	+	null					Not found	0	0.26475203
Chr4:51486812-51578957	4	51486812	51578957	+	null					Not found	0	0.04250401
Chr4:51579334-51580824	4	51579334	51580824	+	null					Not found	0	0.32923827
Chr4:51585913-51598715	4	51585913	51598715	+	null					Not found	0	7.7350283
Chr4:51598919-51635677	4	51598919	51635677	-	null					Not found	0	0.0943442
Chr4:51637237-51642115	4	51637237	51642115	-	null					Not found	0	0.23505442
Chr4:51677736-51726174	4	51677736	51726174	+	null					Not found	0	1.4403778
Chr4:51822174-51844619	4	51822174	51844619	+	null					Not found	0	0.61961883
Chr4:51888664-51946678	4	51888664	51946678	+	null					Not found	0	0.41964692
Chr4:52345602-52350874	4	52345602	52350874	+	null					Not found	0	6.6896567
Chr4:53631343-53632820	4	53631343	53632820	-	null					Not found	0	5.861022
Chr4:54474304-54574663	4	54474304	54574663	+	null					Not found	0	0.034998335
Chr4:55476013-55478232	4	55476013	55478232	+	null					Not found	0	1.2476324
Chr4:55478625-55479756	4	55478625	55479756	+	null					Not found	0	1.2560959
Chr4:55502712-55527082	4	55502712	55527082	+	null					Not found	0	0.882626
Chr4:55708690-55713920	4	55708690	55713920	+	null					Not found	0	3.0527384
Chr4:55715709-55718676	4	55715709	55718676	-	null					Not found	0	31.991936
Chr4:55772375-56171668	4	55772375	56171668	-	null					Not found	0	0.59624577
Chr4:56110588-56115501	4	56110588	56115501	+	null					Not found	0	15.325589
Chr4:56263075-56268615	4	56263075	56268615	-	null					Not found	0	1.0528065
Chr4:56268874-56271336	4	56268874	56271336	-	null					Not found	0	0.8066797
Chr4:56271937-56273691	4	56271937	56273691	-	null					Not found	0	0.70289654
Chr4:56274974-56276522	4	56274974	56276522	-	null					Not found	0	0.7239764
Chr4:56281804-56282905	4	56281804	56282905	-	null					Not found	0	0.71426815
Chr4:56399506-56438119	4	56399506	56438119	+	null					Not found	0	0.5085143
Chr4:56442603-56453474	4	56442603	56453474	+	null					Not found	0	1.5774062
Chr4:56478394-56493776	4	56478394	56493776	+	null					Not found	0	3.4061375
Chr4:56547707-56550544	4	56547707	56550544	-	null					Not found	0	1.2898335
Chr4:56625568-56653100	4	56625568	56653100	-	null					Not found	0	4.4972115
Chr4:56677474-56704488	4	56677474	56704488	-	null					Not found	0	0.8045443
Chr4:56744566-56747879	4	56744566	56747879	-	null					Not found	0	10.900134
Chr4:56748032-56749138	4	56748032	56749138	-	null					Not found	0	1.3093113
Chr4:56819981-56897276	4	56819981	56897276	+	null					Not found	0	1.3468701
Chr4:56981275-57004790	4	56981275	57004790	-	null					Not found	0	0.57864875
Chr4:57019637-57042745	4	57019637	57042745	-	null					Not found	0	0.8546466
Chr4:57050217-57199865	4	57050217	57199865	-	null					Not found	0	0.9741938
Chr4:57204906-57249209	4	57204906	57249209	-	null					Not found	0	1.0445414
Chr4:57249424-57250805	4	57249424	57250805	-	null					Not found	0	1.2095366
Chr4:57336701-57445306	4	57336701	57445306	-	null					Not found	0	0.37439644
Chr4:57511042-57625437	4	57511042	57625437	+	null					Not found	0	2.3843813
Chr4:57684681-57706584	4	57684681	57706584	+	null					Not found	0	1.1184332
Chr4:57716023-57773799	4	57716023	57773799	-	null					Not found	0	4.6311026
Chr4:57797650-57823261	4	57797650	57823261	+	null					Not found	0	0.5040313
Chr4:57871437-57879092	4	57871437	57879092	-	null					Not found	0	0.049194667
Chr4:57966797-58006835	4	57966797	58006835	+	null					Not found	0	0.35497034
Chr4:58052791-58067691	4	58052791	58067691	-	null					Not found	0	27.793842
Chr4:58061787-58062910	4	58061787	58062910	+	null					Not found	0	21.754103
Chr4:58063892-58195179	4	58063892	58195179	+	null					Not found	0	5.852554
Chr4:58076163-58078659	4	58076163	58078659	-	null					Not found	0	26.429977
Chr4:58078807-58093054	4	58078807	58093054	-	null					Not found	0	30.156513
Chr4:58248531-58249655	4	58248531	58249655	+	null					Not found	0	1.7867798
Chr4:58428214-58430766	4	58428214	58430766	+	null					Not found	0	0.4193722
Chr4:58433692-58434736	4	58433692	58434736	+	null					Not found	0	0.5365739
Chr4:58437550-58438687	4	58437550	58438687	+	null					Not found	0	0.5633786
Chr4:58443657-58445171	4	58443657	58445171	+	null					Not found	0	0.5041903
Chr4:58446029-58447788	4	58446029	58447788	+	null					Not found	0	0.51936305
Chr4:58448197-58450876	4	58448197	58450876	+	null					Not found	0	0.5179275
Chr4:58451967-58453038	4	58451967	58453038	+	null					Not found	0	0.64148796
Chr4:58462234-58466550	4	58462234	58466550	+	null					Not found	0	0.66952777
Chr4:58467500-58504355	4	58467500	58504355	+	null					Not found	0	0.54476875
Chr4:58660142-58693268	4	58660142	58693268	+	null					Not found	0	0.25772786
Chr4:58693375-58825105	4	58693375	58825105	-	null					Not found	0	0.8534786
Chr4:58825456-58826818	4	58825456	58826818	+	null					Not found	0	2.547491
Chr4:58829027-58839508	4	58829027	58839508	+	null					Not found	0	2.6127071
Chr4:59439494-59605156	4	59439494	59605156	+	null					Not found	0	1.8784963
Chr4:59791171-59883597	4	59791171	59883597	+	null					Not found	0	0.68811524
Chr4:60080539-60358557	4	60080539	60358557	+	null					Not found	0	0.30167353
Chr4:60549182-60657573	4	60549182	60657573	-	null					Not found	0	0.24176796
Chr4:60758719-60762643	4	60758719	60762643	-	null					Not found	0	0.25606716
Chr4:61108788-61357393	4	61108788	61357393	-	null					Not found	0	0.28637472
Chr4:61548148-61572953	4	61548148	61572953	+	null					Not found	0	1.8718834
Chr4:61706872-61720981	4	61706872	61720981	+	null					Not found	0	3.2926528
Chr4:61912149-61940696	4	61912149	61940696	-	null					Not found	0	1.4966668
Chr4:62221028-62258253	4	62221028	62258253	-	null					Not found	0	0.09770785
Chr4:62265644-62270253	4	62265644	62270253	-	null					Not found	0	0.3084383
Chr4:62272456-62291347	4	62272456	62291347	-	null					Not found	0	0.61790967
Chr4:62299009-62302342	4	62299009	62302342	-	null					Not found	0	1.4108272
Chr4:62391847-62396068	4	62391847	62396068	+	null					Not found	0	0.5933807
Chr4:62397277-62438918	4	62397277	62438918	+	null					Not found	0	0.5881517
Chr4:62561449-62663209	4	62561449	62663209	+	null					Not found	0	0.83147323
Chr4:62703808-62773904	4	62703808	62773904	-	null					Not found	0	0.78926414
Chr4:62780682-62790285	4	62780682	62790285	-	null					Not found	0	0.69047314
Chr4:62791610-62792715	4	62791610	62792715	-	null					Not found	0	2.619077
Chr4:63009435-63039545	4	63009435	63039545	+	null					Not found	0	15.455917
Chr4:64238979-64331298	4	64238979	64331298	+	null					Not found	0	4.4230638
Chr4:64365135-64681925	4	64365135	64681925	+	null					Not found	0	0.6948615
Chr4:64865842-64868966	4	64865842	64868966	+	null					Not found	0	2.8471866
Chr4:64870091-64981495	4	64870091	64981495	+	null					Not found	0	0.12867808
Chr4:65534856-65659921	4	65534856	65659921	-	null					Not found	0	0.6947394
Chr4:65660232-65661854	4	65660232	65661854	-	null					Not found	0	2.3675396
Chr4:65817943-65819093	4	65817943	65819093	+	null					Not found	0	9.631037
Chr4:65819462-65834625	4	65819462	65834625	+	null					Not found	0	0.03139559
Chr4:65836956-65962786	4	65836956	65962786	+	null					Not found	0	0.7389278
Chr4:66090264-66148970	4	66090264	66148970	-	null					Not found	0	0.35851076
Chr4:66165875-66252009	4	66165875	66252009	-	null					Not found	0	1.431881
Chr4:66252289-66253416	4	66252289	66253416	-	null					Not found	0	1.6544721
Chr4:66276846-66284005	4	66276846	66284005	-	null					Not found	0	0.6516217
Chr4:66290357-66357851	4	66290357	66357851	-	null					Not found	0	3.0401645
